,city,state_id,population,usa
0,mirabel,QC,50513.0,0
1,belleville,ON,50716.0,0
2,north bay,ON,51553.0,0
3,welland,ON,52293.0,0
4,saint-hyacinthe,QC,55648.0,0
5,blainville,QC,56863.0,0
6,fredericton,NB,58220.0,0
7,port coquitlam,BC,58612.0,0
8,halton hills,ON,61161.0,0
9,airdrie,AB,61581.0,0
10,grande prairie,AB,63166.0,0
11,medicine hat,AB,63260.0,0
12,norfolk county,ON,64044.0,0
13,st. albert,AB,65589.0,0
14,granby,QC,66222.0,0
15,caledon,ON,66502.0,0
16,saint john,NB,67575.0,0
17,new westminster,BC,70996.0,0
18,wood buffalo,AB,71589.0,0
19,sarnia,ON,71594.0,0
20,moncton,NB,71889.0,0
21,sault ste. marie,ON,73368.0,0
22,prince george,BC,74003.0,0
23,saint-jérôme,QC,74346.0,0
24,kawartha lakes,ON,75423.0,0
25,drummondville,QC,75423.0,0
26,peterborough,ON,81032.0,0
27,maple ridge,BC,82256.0,0
28,chilliwack,BC,83788.0,0
29,newmarket,ON,84224.0,0
30,repentigny,QC,84285.0,0
31,brossard,QC,85721.0,0
32,victoria,BC,85792.0,0
33,north vancouver,BC,85935.0,0
34,niagara falls,ON,88071.0,0
35,kamloops,BC,90280.0,0
36,nanaimo,BC,90504.0,0
37,pickering,ON,91771.0,0
38,clarington,ON,92013.0,0
39,lethbridge,AB,92729.0,0
40,cape breton,NS,94285.0,0
41,saint-jean-sur-richelieu,QC,95114.0,0
42,brantford,ON,97496.0,0
43,strathcona county,AB,98044.0,0
44,red deer,AB,100418.0,0
45,chatham-kent,ON,101647.0,0
46,delta,BC,102238.0,0
47,waterloo,ON,104986.0,0
48,thunder bay,ON,107909.0,0
49,st. john's,NL,108860.0,0
50,milton,ON,110128.0,0
51,terrebonne,QC,111575.0,0
52,saanich,BC,114148.0,0
53,langley,BC,117285.0,0
54,ajax,ON,119677.0,0
55,kingston,ON,123798.0,0
56,kelowna,BC,127380.0,0
57,whitby,ON,128377.0,0
58,cambridge,ON,129920.0,0
59,guelph,ON,131794.0,0
60,st. catharines,ON,133113.0,0
61,trois-rivières,QC,134413.0,0
62,coquitlam,BC,139284.0,0
63,abbotsford,BC,141397.0,0
64,barrie,ON,141434.0,0
65,lévis,QC,143414.0,0
66,saguenay,QC,145949.0,0
67,escondido,CA,151613.0,1
68,hollywood,FL,151998.0,1
69,frederick,MD,152047.0,1
70,binghamton,NY,152392.0,1
71,pomona,CA,152494.0,1
72,sunnyvale,CA,152771.0,1
73,tuscaloosa,AL,153060.0,1
74,lake charles,LA,153097.0,1
75,pasadena,TX,153351.0,1
76,lakewood,CO,154393.0,1
77,champaign,IL,155368.0,1
78,alexandria,VA,155810.0,1
79,palmdale,CA,157356.0,1
80,port arthur,TX,157732.0,1
81,hayward,CA,158937.0,1
82,oshawa,ON,159458.0,0
83,manchester,NH,159744.0,1
84,muskegon,MI,161058.0,1
85,sherbrooke,QC,161323.0,0
86,greater sudbury,ON,161531.0,0
87,murfreesboro,TN,161634.0,1
88,cary,NC,162320.0,1
89,marysville,WA,163547.0,1
90,frisco,TX,163656.0,1
91,fredericksburg,VA,164610.0,1
92,ocala,FL,165111.0,1
93,corona,CA,166785.0,1
94,medford,OR,167922.0,1
95,pembroke pines,FL,168587.0,1
96,elk grove,CA,169743.0,1
97,nampa,ID,169761.0,1
98,vallejo,CA,172697.0,1
99,ontario,CA,173212.0,1
100,garden grove,CA,174858.0,1
101,hemet,CA,175066.0,1
102,oceanside,CA,175464.0,1
103,santa cruz,CA,176037.0,1
104,rancho cucamonga,CA,176534.0,1
105,danbury,CT,176649.0,1
106,high point,NC,177412.0,1
107,sioux falls,SD,177629.0,1
108,gastonia,NC,178477.0,1
109,fort lauderdale,FL,178752.0,1
110,clarksville,TN,179367.0,1
111,lorain,OH,179926.0,1
112,newport news,VA,181825.0,1
113,tempe,AZ,182498.0,1
114,burlington,ON,183314.0,0
115,cedar rapids,IA,184610.0,1
116,spartanburg,SC,185031.0,1
117,waco,TX,185680.0,1
118,hagerstown,MD,186377.0,1
119,overland park,KS,188966.0,1
120,north port,FL,190003.0,1
121,erie,PA,190443.0,1
122,grand prairie,TX,190682.0,1
123,waterbury,CT,190855.0,1
124,deltona,FL,192730.0,1
125,salinas,CA,193126.0,1
126,oakville,ON,193832.0,0
127,olympia,WA,194532.0,1
128,richmond hill,ON,195022.0,0
129,huntington,WV,198419.0,1
130,gainesville,FL,198702.0,1
131,huntington beach,CA,200652.0,1
132,yonkers,NY,200807.0,1
133,fargo,ND,202146.0,1
134,santa barbara,CA,203655.0,1
135,norwich,CT,204360.0,1
136,college station,TX,204710.0,1
137,moreno valley,CA,205499.0,1
138,amarillo,TX,205821.0,1
139,green bay,WI,208670.0,1
140,fontana,CA,209665.0,1
141,tacoma,WA,211277.0,1
142,avondale,AZ,214235.0,1
143,bremerton,WA,214549.0,1
144,kalamazoo,MI,214583.0,1
145,regina,SK,215106.0,0
146,hickory,NC,215120.0,1
147,roanoke,VA,215793.0,1
148,san bernardino,CA,216239.0,1
149,windsor,ON,217188.0,0
150,thousand oaks,CA,218548.0,1
151,appleton,WI,221379.0,1
152,gulfport,MS,222131.0,1
153,mckinney,TX,223422.0,1
154,brownsville,TX,228534.0,1
155,kennewick,WA,229624.0,1
156,nashua,NH,230061.0,1
157,visalia,CA,231159.0,1
158,winter haven,FL,231412.0,1
159,burnaby,BC,232755.0,0
160,york,PA,232796.0,1
161,fremont,CA,233136.0,1
162,kitchener,ON,233222.0,0
163,evansville,IN,233353.0,1
164,garland,TX,234943.0,1
165,hialeah,FL,236387.0,1
166,gilbert,AZ,237133.0,1
167,chesapeake,VA,237940.0,1
168,irving,TX,238289.0,1
169,north las vegas,NV,238702.0,1
170,longueuil,QC,239700.0,0
171,wilmington,NC,242770.0,1
172,atlantic city,NJ,243285.0,1
173,killeen,TX,243947.0,1
174,norfolk,VA,245115.0,1
175,glendale,AZ,245895.0,1
176,saskatoon,SK,246376.0,0
177,scottsdale,AZ,246645.0,1
178,chandler,AZ,247477.0,1
179,tallahassee,FL,252825.0,1
180,myrtle beach,SC,256079.0,1
181,salem,OR,256175.0,1
182,montgomery,AL,256554.0,1
183,anchorage,AK,256724.0,1
184,laredo,TX,256752.0,1
185,saint petersburg,FL,260999.0,1
186,lubbock,TX,261076.0,1
187,eugene,OR,263860.0,1
188,jersey city,NJ,264152.0,1
189,reading,PA,264736.0,1
190,peoria,IL,265218.0,1
191,irvine,CA,266122.0,1
192,santa clarita,CA,266958.0,1
193,chula vista,CA,267172.0,1
194,lafayette,LA,267376.0,1
195,canton,OH,272768.0,1
196,gatineau,QC,276245.0,0
197,south bend,IN,279698.0,1
198,savannah,GA,280692.0,1
199,lincoln,NE,280741.0,1
200,newark,NJ,281764.0,1
201,plano,TX,286057.0,1
202,round lake beach,IL,286350.0,1
203,rockford,IL,286727.0,1
204,lakeland,FL,286876.0,1
205,davenport,IA,288233.0,1
206,shreveport,LA,291749.0,1
207,henderson,NV,292969.0,1
208,trenton,NJ,293697.0,1
209,asheville,NC,299892.0,1
